Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	17.073115253	17.513117686	167.5	1631.1	0.440	1463.6	-63.7	
2	Spectrogram 1	1	18.151552589	18.708026255	255.7	1551.8	0.556	1296.1	-57.6	
3	Spectrogram 1	1	19.427859038	20.191392673	158.7	1728.1	0.764	1569.4	-58.5	
4	Spectrogram 1	1	26.397350260	27.001275169	282.1	2019.0	0.604	1736.9	-65.3	
5	Spectrogram 1	1	46.843785164	47.452023821	52.9	908.1	0.608	855.2	-53.5	
6	Spectrogram 1	1	46.253889284	46.758597958	141.1	1622.3	0.505	1481.2	-61.3	
7	Spectrogram 1	1	49.312337571	49.769595001	61.7	811.1	0.457	749.4	-52.2	
8	Spectrogram 1	1	49.536165488	50.032246663	44.1	925.8	0.496	881.7	-51.3	
9	Spectrogram 1	1	55.713349044	56.373352694	305.5	1296.8	0.660	991.3	-57.4	
10	Spectrogram 1	1	55.916095263	56.571785164	137.2	1178.3	0.656	1041.1	-56.7	
11	Spectrogram 1	1	56.696883895	57.098062584	56.1	947.6	0.401	891.5	-54.1	
12	Spectrogram 1	1	58.139546506	58.514842699	106.0	910.2	0.375	804.2	-54.8	
13	Spectrogram 1	1	59.701123769	59.959948730	68.6	741.9	0.259	673.3	-46.1	
14	Spectrogram 1	1	63.258763957	63.599550156	149.6	854.1	0.341	704.5	-52.5	
15	Spectrogram 1	1	63.435627681	63.681511393	230.7	897.8	0.246	667.1	-50.7	
16	Spectrogram 1	1	63.681511393	64.164651320	81.0	804.2	0.483	723.2	-49.9	
17	Spectrogram 1	1	66.068885111	66.275945080	68.6	754.4	0.207	685.8	-52.7	
18	Spectrogram 1	1	66.323396323	66.711633764	124.7	685.8	0.388	561.1	-52.2	
19	Spectrogram 1	1	69.409902667	69.716178871	56.1	860.3	0.306	804.2	-52.2	
20	Spectrogram 1	1	69.677355127	70.009513827	143.4	785.5	0.332	642.1	-52.1	
21	Spectrogram 1	1	70.880891194	71.230304891	68.6	779.3	0.349	710.7	-51.7	
22	Spectrogram 1	1	73.747548939	73.864020171	37.4	704.5	0.116	667.1	-43.6	
23	Spectrogram 1	1	74.092648887	74.476572579	124.7	916.5	0.384	791.8	-45.3	
24	Spectrogram 1	1	76.139312715	76.751865122	0.0	854.1	0.613	854.1	-41.0	
25	Spectrogram 1	1	79.648642804	79.894526516	62.3	542.4	0.246	480.0	-47.4	
26	Spectrogram 1	1	79.523544072	79.691780297	49.9	673.3	0.168	623.4	-53.8	
27	Spectrogram 1	1	80.847865122	81.249043811	62.3	654.6	0.401	592.3	-48.9	
28	Spectrogram 1	1	85.965507743	86.349431435	68.6	660.8	0.384	592.3	-49.5	
29	Spectrogram 1	1	88.824960203	89.187315148	62.3	542.4	0.362	480.0	-44.6	
30	Spectrogram 1	1	101.758209117	101.991151582	155.9	872.8	0.233	717.0	-50.3	
31	Spectrogram 1	1	109.137506527	109.387703989	180.8	966.3	0.250	785.5	-56.7	
32	Spectrogram 1	1	122.314205467	123.021660360	174.6	2051.1	0.707	1876.6	-59.7	
