Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	31.693110991	32.093199647	126.3	1109.0	0.400	982.7	-59.1	
2	Spectrogram 1	1	36.423448626	37.236815673	93.3	1712.9	0.813	1619.5	-49.9	
3	Spectrogram 1	1	40.684070715	40.859933860	120.8	1048.6	0.176	927.8	-54.4	
4	Spectrogram 1	1	42.666353908	43.141184400	54.9	1323.1	0.475	1268.2	-59.2	
5	Spectrogram 1	1	45.066513482	45.460007270	71.4	1356.0	0.393	1284.7	-61.1	
6	Spectrogram 1	1	45.455610691	45.875483951	76.9	1328.6	0.420	1251.7	-57.3	
7	Spectrogram 1	1	62.279846435	62.693124826	82.3	1185.8	0.413	1103.5	-56.3	
8	Spectrogram 1	1	63.209722816	63.570242264	76.9	1257.2	0.361	1180.3	-59.6	
9	Spectrogram 1	1	64.590248507	64.891414144	60.4	949.8	0.301	889.4	-56.6	
10	Spectrogram 1	1	70.379787432	70.654573596	126.3	1174.9	0.275	1048.6	-52.4	
11	Spectrogram 1	1	70.531469395	70.826040163	32.9	807.0	0.295	774.1	-50.6	
12	Spectrogram 1	1	71.206344215	71.437164593	164.7	840.0	0.231	675.3	-54.4	
13	Spectrogram 1	1	71.630614053	71.854839563	269.0	894.9	0.224	625.9	-50.8	
14	Spectrogram 1	1	71.832856670	72.241797605	54.9	905.8	0.409	850.9	-50.1	
15	Spectrogram 1	1	72.068132749	72.400074436	76.9	872.9	0.332	796.0	-49.8	
16	Spectrogram 1	1	72.351712071	72.600118764	186.7	1021.1	0.248	834.5	-54.9	
17	Spectrogram 1	1	72.670464022	72.943051897	65.9	768.6	0.273	702.7	-51.1	
18	Spectrogram 1	1	73.151889383	73.567366064	93.3	1037.6	0.415	944.3	-47.1	
19	Spectrogram 1	1	73.626719875	73.914695776	115.3	829.0	0.288	713.7	-47.1	
20	Spectrogram 1	1	74.715700577	75.096004629	93.3	834.5	0.380	741.1	-48.9	
21	Spectrogram 1	1	74.970702138	75.199324227	54.9	1032.1	0.229	977.2	-49.1	
22	Spectrogram 1	1	75.825836682	76.188554420	54.9	922.3	0.363	867.4	-53.9	
23	Spectrogram 1	1	77.386048326	77.849887372	71.4	1130.9	0.464	1059.6	-53.5	
24	Spectrogram 1	1	77.948810391	78.291743525	104.3	1147.4	0.343	1043.1	-54.0	
25	Spectrogram 1	1	79.786639383	80.193322906	87.8	1076.0	0.407	988.2	-53.3	
26	Spectrogram 1	1	82.808512012	83.127263963	65.9	933.3	0.319	867.4	-49.1	
27	Spectrogram 1	1	83.175626328	83.450412492	60.4	774.1	0.275	713.7	-49.4	
28	Spectrogram 1	1	85.177694124	85.423902528	49.4	779.6	0.246	730.2	-50.3	
29	Spectrogram 1	1	85.443687132	85.733861322	137.2	779.6	0.290	642.3	-49.8	
30	Spectrogram 1	1	85.760240794	86.050414983	87.8	752.1	0.290	664.3	-47.6	
31	Spectrogram 1	1	86.538435212	86.824212823	87.8	697.2	0.286	609.4	-50.2	
32	Spectrogram 1	1	88.436982000	88.670000667	93.3	850.9	0.233	757.6	-49.3	
33	Spectrogram 1	1	89.243754179	89.580092445	60.4	713.7	0.336	653.3	-47.4	
34	Spectrogram 1	1	89.915576868	90.194759611	87.8	675.3	0.279	587.4	-51.4	
35	Spectrogram 1	1	90.647607210	90.882824167	71.4	708.2	0.235	636.8	-48.5	
36	Spectrogram 1	1	91.405163182	91.697535661	49.4	790.6	0.292	741.1	-50.1	
37	Spectrogram 1	1	92.952587912	93.148235661	38.4	785.1	0.196	746.6	-49.3	
38	Spectrogram 1	1	93.541729449	93.713196016	60.4	713.7	0.171	653.3	-42.5	
39	Spectrogram 1	1	94.080139383	94.372511862	60.4	801.5	0.292	741.1	-48.9	
40	Spectrogram 1	1	94.774798807	95.036395236	38.4	774.1	0.262	735.7	-50.6	
41	Spectrogram 1	1	95.216654960	95.469458231	65.9	680.8	0.253	614.9	-52.5	
42	Spectrogram 1	1	96.083923986	96.556556190	131.8	944.3	0.473	812.5	-57.4	
43	Spectrogram 1	1	98.387358831	98.695119335	60.4	669.8	0.308	609.4	-50.7	
44	Spectrogram 1	1	99.386928038	99.714473147	104.3	1273.7	0.328	1169.4	-54.0	
45	Spectrogram 1	1	99.943095236	100.178312193	115.3	999.2	0.235	883.9	-53.2	
46	Spectrogram 1	1	100.176113903	100.556417955	82.3	944.3	0.380	861.9	-55.7	
47	Spectrogram 1	1	104.080326237	104.627700277	82.3	1443.9	0.547	1361.5	-53.6	
48	Spectrogram 1	1	113.225930529	113.472138933	109.8	1658.0	0.246	1548.2	-58.2	
49	Spectrogram 1	1	118.344387672	118.843399347	126.3	1213.3	0.499	1087.0	-54.7	
50	Spectrogram 1	1	120.707377739	121.006345086	142.7	1361.5	0.299	1218.8	-58.2
