Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	1.177653571	3.502764469	55.2	2574.5	2.325	2519.3	-54.7	
2	Spectrogram 1	1	40.316637009	41.735824678	138.1	2016.6	1.419	1878.5	-66.6	
3	Spectrogram 1	1	49.524049687	50.700937022	27.6	1823.2	1.177	1795.6	-62.0	
4	Spectrogram 1	1	51.877824357	53.037404525	27.6	1105.0	1.160	1077.3	-60.8	
5	Spectrogram 1	1	54.421977860	54.716199694	0.0	1022.1	0.294	1022.1	-55.3	
6	Spectrogram 1	1	55.179556484	55.603582068	78.1	839.9	0.424	761.8	-55.2	
7	Spectrogram 1	1	57.291030820	57.663134904	156.3	996.2	0.372	839.9	-51.1	
8	Spectrogram 1	1	60.909666870	61.048124204	234.4	781.3	0.138	546.9	-46.1	
9	Spectrogram 1	1	60.650059370	60.866398954	39.1	605.5	0.216	566.5	-47.3	
10	Spectrogram 1	1	33.657064735	33.928830944	44.1	749.4	0.272	705.3	-69.8	
11	Spectrogram 1	1	56.105128239	56.260423216	61.7	537.8	0.155	476.1	-61.2	
12	Spectrogram 1	1	70.008623343	70.332154544	26.5	793.5	0.324	767.1	-56.0	
13	Spectrogram 1	1	71.207845662	71.626279348	44.1	696.5	0.418	652.4	-54.6	
14	Spectrogram 1	1	72.010203040	72.316479244	26.5	705.3	0.306	678.9	-52.2	
15	Spectrogram 1	1	74.148538487	74.325402210	79.4	881.7	0.177	802.3	-52.3	
16	Spectrogram 1	1	74.592854669	74.925013369	123.4	855.2	0.332	731.8	-44.6	
17	Spectrogram 1	1	75.973254460	76.236393170	141.1	793.5	0.263	652.4	-48.1	
18	Spectrogram 1	1	81.359978239	81.571351957	52.9	634.8	0.211	581.9	-43.9	
19	Spectrogram 1	1	84.119313428	84.304804650	44.1	555.5	0.185	511.4	-57.8	
20	Spectrogram 1	1	95.892526008	96.319587193	52.9	634.8	0.427	581.9	-54.7	
21	Spectrogram 1	1	98.041978109	98.274920574	0.0	740.6	0.233	740.6	-52.5	
22	Spectrogram 1	1	86.648383376	86.941701686	149.9	802.3	0.293	652.4	-50.6	
