Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	0.761192737	1.379386839	61.0	2621.2	0.618	2560.2	-60.2	
2	Spectrogram 1	1	11.881254280	13.126442399	278.7	2473.1	1.245	2194.5	-50.9	
3	Spectrogram 1	1	12.805245464	14.050433583	209.0	2934.7	1.245	2725.7	-52.1	
4	Spectrogram 1	1	18.123233499	18.624828713	156.7	2351.2	0.502	2194.5	-56.8	
5	Spectrogram 1	1	25.573619813	26.440411543	139.3	2255.4	0.867	2116.1	-56.1	
6	Spectrogram 1	1	31.015217966	31.349614775	61.0	1854.8	0.334	1793.9	-57.9	
7	Spectrogram 1	1	35.086021870	35.402818848	313.5	1968.1	0.317	1654.6	-57.4	
8	Spectrogram 1	1	38.577238327	38.990834381	182.9	2769.2	0.414	2586.3	-54.7	
9	Spectrogram 1	1	39.294431484	39.492429595	78.4	1254.0	0.198	1175.6	-46.5	
10	Spectrogram 1	1	39.364830812	39.589228671	43.5	1254.0	0.224	1210.4	-47.3	
11	Spectrogram 1	1	40.940015783	41.525210199	121.9	1349.8	0.585	1227.9	-61.1	
12	Spectrogram 1	1	43.120827034	43.266025649	113.2	1001.4	0.145	888.2	-65.8	
13	Spectrogram 1	1	42.856829553	42.966828503	121.9	809.9	0.110	687.9	-60.2	
14	Spectrogram 1	1	44.704811921	44.990809192	496.4	2037.7	0.286	1541.4	-61.6	
15	Spectrogram 1	1	47.782428965	48.086026069	156.7	1193.0	0.304	1036.3	-56.0	
16	Spectrogram 1	1	48.028826614	48.354423508	69.7	1341.1	0.326	1271.4	-55.7	
17	Spectrogram 1	1	48.878018512	49.067216707	69.7	1489.1	0.189	1419.4	-56.7	
18	Spectrogram 1	1	49.995607849	50.550002559	235.1	1767.8	0.554	1532.6	-49.9	
19	Spectrogram 1	1	51.718826824	51.890425187	217.7	1689.4	0.172	1471.7	-53.9	
20	Spectrogram 1	1	84.930022290	85.339218386	34.8	1619.7	0.409	1584.9	-51.0	
