Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	31.853056270	32.060116239	111.9	659.2	0.207	547.3	-66.9	
2	Spectrogram 1	1	35.647358492	35.839526221	114.3	668.4	0.192	554.1	-69.8	
3	Spectrogram 1	1	39.056498453	39.224263930	114.3	598.1	0.168	483.7	-74.4	
4	Spectrogram 1	1	41.047750975	41.352779116	131.9	642.0	0.305	510.1	-69.0	
5	Spectrogram 1	1	46.520431660	46.871214022	158.3	1424.8	0.351	1266.5	-51.3	
6	Spectrogram 1	1	47.783248165	47.932711955	79.2	527.7	0.149	448.5	-54.3	
7	Spectrogram 1	1	49.932957360	50.661974618	114.3	1372.0	0.729	1257.7	-61.2	
8	Spectrogram 1	1	52.473593387	52.647459428	70.4	606.8	0.174	536.5	-64.4	
9	Spectrogram 1	1	55.958654925	56.163023780	158.3	633.2	0.204	474.9	-62.6	
10	Spectrogram 1	1	56.837135973	57.221471431	175.9	1627.0	0.384	1451.2	-58.4	
11	Spectrogram 1	1	57.990142347	58.215863172	123.1	835.5	0.226	712.4	-54.2	
12	Spectrogram 1	1	60.338119834	60.633997132	123.1	598.1	0.296	474.9	-56.9	
13	Spectrogram 1	1	64.583515338	65.126465429	52.8	1873.3	0.543	1820.5	-53.1	
14	Spectrogram 1	1	69.206263557	69.471638040	87.9	993.8	0.265	905.9	-56.2	
15	Spectrogram 1	1	70.569739350	70.761907079	123.1	1310.4	0.192	1187.3	-56.3	
16	Spectrogram 1	1	83.886777628	84.338219277	79.2	905.9	0.451	826.7	-57.6	
17	Spectrogram 1	1	85.771851542	86.253796006	70.4	1864.5	0.482	1794.2	-52.3	
18	Spectrogram 1	1	89.310811771	89.972722838	255.1	2040.4	0.662	1785.4	-54.7	
19	Spectrogram 1	1	89.939169742	90.350957733	79.2	853.1	0.412	773.9	-53.0	
20	Spectrogram 1	1	92.434933727	92.697257929	114.3	1108.2	0.262	993.8	-53.9	
21	Spectrogram 1	1	94.850756608	95.171036156	123.1	1213.7	0.320	1090.6	-57.5	
22	Spectrogram 1	1	96.187202392	96.855214022	87.9	1934.9	0.668	1846.9	-49.7	
23	Spectrogram 1	1	101.516006895	101.943046293	70.4	1266.5	0.427	1196.1	-59.3	
24	Spectrogram 1	1	106.041425658	106.264096201	79.2	677.2	0.223	598.1	-66.0	
