Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	5.300856608	5.481308537	221.7	1699.5	0.180	1477.8	-55.5	
2	Spectrogram 1	1	13.839960880	14.319091864	135.5	1514.8	0.479	1379.3	-52.0	
3	Spectrogram 1	1	24.426644580	24.554205427	147.8	1145.3	0.128	997.5	-70.2	
4	Spectrogram 1	1	44.667592570	45.053386349	123.2	1490.1	0.386	1367.0	-55.0	
5	Spectrogram 1	1	49.773428158	49.919656445	110.8	1022.2	0.146	911.3	-71.3	
6	Spectrogram 1	1	53.426790913	54.148598628	246.3	2376.8	0.722	2130.5	-59.3	
7	Spectrogram 1	1	58.937882409	59.320564948	209.4	1662.6	0.383	1453.2	-61.6	
8	Spectrogram 1	1	62.619657606	63.189014554	209.4	2623.2	0.569	2413.8	-65.4	
9	Spectrogram 1	1	64.101421190	65.395697093	172.4	2758.6	1.294	2586.2	-53.7	
10	Spectrogram 1	1	65.762823431	65.921496679	209.4	1305.4	0.159	1096.1	-52.1	
11	Spectrogram 1	1	70.029465322	70.449482742	147.8	1588.7	0.420	1440.9	-55.0	
