Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	26.410368906	28.590616699	153.5	1659.2	2.180	1505.7	-61.4	
2	Spectrogram 1	1	35.455478818	35.782172099	66.5	682.9	0.327	616.5	-59.6	
3	Spectrogram 1	1	37.738892911	38.031197426	90.7	640.6	0.292	550.0	-53.9	
4	Spectrogram 1	1	40.098795707	40.432366741	54.4	646.7	0.334	592.3	-55.2	
5	Spectrogram 1	1	42.024566629	42.323748897	54.4	640.6	0.299	586.2	-51.4	
6	Spectrogram 1	1	52.227608620	52.629957188	18.1	634.6	0.402	616.5	-52.1	
7	Spectrogram 1	1	64.414728119	64.796443427	54.4	689.0	0.382	634.6	-53.9	
8	Spectrogram 1	1	67.784827233	68.166542540	78.6	719.2	0.382	640.6	-53.0	
9	Spectrogram 1	1	68.437083958	68.622783296	42.3	773.6	0.186	731.3	-49.3	
10	Spectrogram 1	1	69.283047612	69.620057524	54.4	664.8	0.337	610.4	-52.5	
11	Spectrogram 1	1	72.634174129	73.098422476	120.9	525.8	0.464	404.9	-57.3	
12	Spectrogram 1	1	73.741492409	73.989091527	24.2	882.4	0.248	858.2	-53.9	
13	Spectrogram 1	1	76.980444960	77.190216436	66.5	701.1	0.210	634.6	-56.4	
14	Spectrogram 1	1	77.100805643	77.327771502	48.3	537.9	0.227	489.5	-55.4	
15	Spectrogram 1	1	77.530665224	77.867675135	60.4	658.8	0.337	598.3	-52.1	
16	Spectrogram 1	1	78.122152007	78.362873372	108.8	731.3	0.241	622.5	-49.8	
17	Spectrogram 1	1	78.366312249	78.830560596	133.0	501.6	0.464	368.7	-52.5	
18	Spectrogram 1	1	78.823682843	79.150376124	84.6	682.9	0.327	598.3	-55.7	
19	Spectrogram 1	1	81.654063491	81.997951156	54.4	870.3	0.344	815.9	-56.9	
20	Spectrogram 1	1	84.900363045	85.182350930	48.3	598.3	0.282	550.0	-52.2	
21	Spectrogram 1	1	86.261361739	86.594932774	241.7	948.9	0.334	707.1	-52.3	
22	Spectrogram 1	1	87.908583652	88.125232881	6.0	447.2	0.217	441.2	-57.6	
23	Spectrogram 1	1	89.695515290	89.960308791	48.3	670.8	0.265	622.5	-54.3	
24	Spectrogram 1	1	93.636467926	94.021622110	78.6	858.2	0.385	779.6	-58.9	
25	Spectrogram 1	1	93.323530151	93.450768587	84.6	374.7	0.127	290.1	-58.6	
26	Spectrogram 1	1	94.317365502	94.613108894	36.3	828.0	0.296	791.7	-51.1	
27	Spectrogram 1	1	96.070235582	96.458828643	114.8	404.9	0.389	290.1	-60.4	
28	Spectrogram 1	1	99.471284585	99.784222360	60.4	550.0	0.313	489.5	-61.5	
29	Spectrogram 1	1	100.962139451	101.226932953	48.3	707.1	0.265	658.8	-55.3	
30	Spectrogram 1	1	102.887910373	103.297136694	235.7	991.2	0.409	755.5	-58.8	
31	Spectrogram 1	1	103.623829975	103.812968191	84.6	701.1	0.189	616.5	-57.4	
32	Spectrogram 1	1	107.568252340	108.060011701	84.6	967.0	0.492	882.4	-62.8	
