Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	1.690067987	2.558203629	103.9	2042.9	0.868	1939.1	-63.9	
2	Spectrogram 1	1	37.619452146	38.190913984	48.5	1572.0	0.571	1523.5	-59.0	
3	Spectrogram 1	1	50.694398016	51.346107685	138.5	1918.3	0.652	1779.8	-60.8	
4	Spectrogram 1	1	57.358670444	57.611572704	48.5	630.2	0.253	581.7	-65.2	
5	Spectrogram 1	1	62.678003005	63.135172475	90.0	1343.5	0.457	1253.5	-55.7	
6	Spectrogram 1	1	68.008394626	68.589583473	27.6	856.4	0.581	828.7	-56.7	
7	Spectrogram 1	1	70.491213927	70.710071652	34.5	877.1	0.219	842.5	-51.3	
8	Spectrogram 1	1	93.802357244	94.315457021	193.4	1077.3	0.513	884.0	-51.7	
9	Spectrogram 1	1	102.430685740	102.841651912	89.8	801.1	0.411	711.3	-64.6	
10	Spectrogram 1	1	104.580354949	105.156680291	151.9	1581.5	0.576	1429.6	-48.6	
