Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	34.702134245	34.885141381	173.2	730.4	0.183	557.2	-54.8	
2	Spectrogram 1	1	35.287757079	35.684272539	120.5	835.8	0.397	715.4	-54.2	
3	Spectrogram 1	1	50.375952718	50.644363183	97.9	625.0	0.268	527.1	-51.0	
4	Spectrogram 1	1	51.504496720	51.772907185	105.4	655.1	0.268	549.7	-49.4	
5	Spectrogram 1	1	52.096219791	52.328028829	218.4	753.0	0.232	534.6	-44.3	
6	Spectrogram 1	1	52.181623121	52.413432159	165.7	692.8	0.232	527.1	-45.3	
7	Spectrogram 1	1	53.017355706	53.419971404	128.0	677.7	0.403	549.7	-41.6	
8	Spectrogram 1	1	54.359408033	54.548515406	218.4	594.9	0.189	376.5	-45.2	
9	Spectrogram 1	1	57.637035295	57.856643857	150.6	677.7	0.220	527.1	-51.4	
10	Spectrogram 1	1	59.491507601	59.674514736	158.1	707.8	0.183	549.7	-51.1	
11	Spectrogram 1	1	60.662753268	60.894562306	105.4	738.0	0.232	632.5	-52.0	
12	Spectrogram 1	1	62.580569318	62.836779308	188.3	655.1	0.256	466.9	-56.2	
13	Spectrogram 1	1	69.276855029	69.563566208	210.8	745.5	0.287	534.6	-47.8	
14	Spectrogram 1	1	73.897226408	74.488949479	218.4	994.0	0.592	775.6	-51.4	
15	Spectrogram 1	1	77.020548186	77.356061268	105.4	738.0	0.336	632.5	-51.6	
16	Spectrogram 1	1	77.929483626	78.185693615	135.5	798.2	0.256	662.7	-51.1	
17	Spectrogram 1	1	78.466304556	78.710314070	150.6	738.0	0.244	587.3	-54.2	
18	Spectrogram 1	1	81.992058145	82.297070037	52.7	738.0	0.305	685.2	-52.4	
19	Spectrogram 1	1	90.101073783	90.369484249	113.0	775.6	0.268	662.7	-50.4	
20	Spectrogram 1	1	90.729398282	90.808701374	105.4	662.7	0.079	557.2	-47.6	
21	Spectrogram 1	1	100.759055211	101.027465676	97.9	903.6	0.268	805.7	-53.8	
22	Spectrogram 1	1	100.984764011	101.369078996	105.4	835.8	0.384	730.4	-52.7	
23	Spectrogram 1	1	101.448382088	101.625288985	75.3	888.6	0.177	813.3	-54.1	
25	Spectrogram 1	1	101.820496597	102.088907062	206.6	878.1	0.268	671.5	-54.6	
26	Spectrogram 1	1	101.960802067	102.192611105	144.6	764.5	0.232	619.8	-56.3	
27	Spectrogram 1	1	102.631828230	102.833136079	237.6	764.5	0.201	526.9	-56.1	
28	Spectrogram 1	1	102.833136079	103.028343691	247.9	795.5	0.195	547.5	-54.6	
29	Spectrogram 1	1	102.924639647	103.156448685	247.9	702.5	0.232	454.5	-51.8	
30	Spectrogram 1	1	103.016143215	103.260152729	227.3	733.5	0.244	506.2	-54.2	
31	Spectrogram 1	1	105.753524524	106.095137843	62.0	547.5	0.342	485.5	-56.1	
32	Spectrogram 1	1	119.973353065	120.497973520	165.3	1239.7	0.525	1074.4	-56.4	
33	Spectrogram 1	1	123.962908618	124.359424078	216.9	1126.0	0.397	909.1	-56.7	
34	Spectrogram 1	1	127.250153085	127.799174491	227.3	1528.9	0.549	1301.7	-57.4	
