Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	43.659140263	44.150925342	101.2	766.7	0.492	665.6	-61.6	
2	Spectrogram 1	1	46.156890799	46.722012251	287.5	1389.7	0.565	1102.2	-65.6	
3	Spectrogram 1	1	47.844306255	48.271382772	181.0	1043.6	0.427	862.6	-47.9	
4	Spectrogram 1	1	57.752239129	58.175001742	79.9	681.5	0.423	601.7	-58.5	
5	Spectrogram 1	1	58.684042438	59.033468679	138.4	851.9	0.349	713.5	-62.1	
6	Spectrogram 1	1	59.473486908	60.086061306	149.1	1144.8	0.613	995.7	-65.3	
7	Spectrogram 1	1	60.245675762	60.586474194	143.8	836.0	0.341	692.2	-57.1	
8	Spectrogram 1	1	64.529319521	64.917570900	117.1	745.4	0.388	628.3	-57.4	
9	Spectrogram 1	1	69.747923091	70.239708171	95.8	995.7	0.492	899.9	-64.3	
10	Spectrogram 1	1	74.368637528	74.676727011	85.2	953.1	0.308	867.9	-59.4	
11	Spectrogram 1	1	83.893716569	84.393980680	90.5	1075.6	0.500	985.1	-63.8	
12	Spectrogram 1	1	84.714271727	85.013210037	90.5	958.4	0.299	867.9	-56.7	
13	Spectrogram 1	1	89.464182131	89.836329823	149.1	995.7	0.372	846.6	-61.0	
14	Spectrogram 1	1	92.708727477	93.096127124	53.2	1182.1	0.387	1128.8	-57.5	
15	Spectrogram 1	1	97.402238121	97.725579559	143.8	958.4	0.323	814.7	-56.2	
16	Spectrogram 1	1	98.198592483	98.372464765	149.1	969.1	0.174	820.0	-54.0	
17	Spectrogram 1	1	98.265701083	98.537185875	69.2	809.3	0.271	740.1	-55.2	
18	Spectrogram 1	1	99.345337440	99.604620668	282.2	1219.3	0.259	937.1	-59.3	
19	Spectrogram 1	1	99.821198423	100.245202761	181.0	1059.6	0.424	878.6	-60.8	
20	Spectrogram 1	1	101.527846309	101.838986183	202.3	1214.0	0.311	1011.7	-57.5	
21	Spectrogram 1	1	104.723296292	105.031385775	127.8	862.6	0.308	734.8	-56.7	
22	Spectrogram 1	1	105.238812358	105.470642068	181.0	1102.2	0.232	921.2	-57.9	
23	Spectrogram 1	1	106.888136864	107.251133384	42.6	931.8	0.363	889.2	-56.2	
24	Spectrogram 1	1	108.010680722	108.410281933	138.4	969.1	0.400	830.6	-57.7	
