Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	0.455401136	1.145341069	241.0	1213.6	0.690	972.6	-64.1	
2	Spectrogram 1	1	7.295507309	8.147151913	140.2	1401.9	0.852	1261.8	-53.7	
3	Spectrogram 1	1	39.432713260	39.887642403	35.0	893.7	0.455	858.7	-59.9	
4	Spectrogram 1	1	40.077375885	40.398629166	39.4	823.6	0.321	784.2	-58.0	
5	Spectrogram 1	1	41.981972659	42.227763760	57.0	657.2	0.246	600.2	-50.1	
6	Spectrogram 1	1	42.564109477	42.786183893	48.2	1117.2	0.222	1069.0	-54.0	
7	Spectrogram 1	1	42.827149077	43.122529611	70.1	613.4	0.295	543.3	-54.4	
8	Spectrogram 1	1	42.335566875	42.607230723	118.3	683.4	0.272	565.2	-54.2	
9	Spectrogram 1	1	48.744672659	49.031428944	61.3	757.9	0.287	696.6	-53.8	
10	Spectrogram 1	1	49.251347297	49.441080779	241.0	727.3	0.190	486.3	-51.0	
11	Spectrogram 1	1	49.277220045	49.434612592	74.5	609.0	0.157	534.5	-51.3	
12	Spectrogram 1	1	49.637282447	49.898165984	52.6	652.8	0.261	600.2	-49.1	
13	Spectrogram 1	1	50.018905473	50.195702581	87.6	508.2	0.177	420.6	-42.1	
14	Spectrogram 1	1	50.843315039	51.108510701	70.1	814.9	0.265	744.8	-45.7	
15	Spectrogram 1	1	52.709413482	52.843089344	100.8	753.5	0.134	652.8	-49.1	
16	Spectrogram 1	1	52.907771213	53.155718376	131.4	630.9	0.248	499.4	-48.5	
17	Spectrogram 1	1	54.138882781	54.322148076	131.4	757.9	0.183	626.5	-56.6	
18	Spectrogram 1	1	54.651987342	54.871905696	48.2	573.9	0.220	525.7	-46.8	
19	Spectrogram 1	1	55.430325829	55.544597130	341.7	841.2	0.114	499.4	-51.4	
20	Spectrogram 1	1	55.883098910	56.221600690	61.3	534.5	0.339	473.2	-46.6	
21	Spectrogram 1	1	56.442181780	56.623291013	236.6	701.0	0.181	464.4	-53.0	
22	Spectrogram 1	1	58.009390179	58.121505418	149.0	665.9	0.112	517.0	-48.3	
23	Spectrogram 1	1	58.002921992	58.205591847	61.3	534.5	0.203	473.2	-47.7	
24	Spectrogram 1	1	58.164626664	58.298302526	179.6	722.9	0.134	543.3	-52.0	
25	Spectrogram 1	1	58.977462147	59.203848688	61.3	648.4	0.226	587.1	-49.0	
26	Spectrogram 1	1	59.768737008	59.945534116	65.7	547.6	0.177	481.9	-44.3	
27	Spectrogram 1	1	60.113706974	60.316376830	87.6	538.9	0.203	451.3	-48.0	
28	Spectrogram 1	1	61.473001191	61.682139233	65.7	696.6	0.209	630.9	-52.9	
29	Spectrogram 1	1	62.044357698	62.247027553	92.0	630.9	0.203	538.9	-54.7	
30	Spectrogram 1	1	61.833063593	62.042201635	61.3	560.8	0.209	499.4	-54.5	
31	Spectrogram 1	1	63.215061258	63.337956808	96.4	701.0	0.123	604.6	-47.3	
32	Spectrogram 1	1	63.406950802	63.521222103	127.1	617.7	0.114	490.7	-46.6	
33	Spectrogram 1	1	64.655310868	64.819171602	74.5	757.9	0.164	683.4	-54.3	
34	Spectrogram 1	1	65.655723771	65.897202747	74.5	604.6	0.241	530.1	-55.1	
35	Spectrogram 1	1	66.464780278	66.689010757	232.2	749.2	0.224	517.0	-57.3	
36	Spectrogram 1	1	66.671762258	66.805438120	43.8	613.4	0.134	569.5	-46.6	
37	Spectrogram 1	1	66.751536563	67.014576163	43.8	626.5	0.263	582.7	-49.1	
38	Spectrogram 1	1	67.271147575	67.480285617	52.6	591.4	0.209	538.9	-45.0	
39	Spectrogram 1	1	67.441476496	67.603181168	70.1	521.3	0.162	451.3	-51.0	
40	Spectrogram 1	1	67.654926663	67.853284394	70.1	595.8	0.198	525.7	-43.9	
41	Spectrogram 1	1	67.792914650	68.006364816	144.6	587.1	0.213	442.5	-44.4	
42	Spectrogram 1	1	68.407172937	68.583970045	118.3	595.8	0.177	477.5	-42.1	
43	Spectrogram 1	1	68.596906418	68.784483838	135.8	560.8	0.188	425.0	-45.6	
44	Spectrogram 1	1	68.875038454	69.038899188	297.9	714.1	0.164	416.2	-48.3	
45	Spectrogram 1	1	68.883662703	69.151014427	100.8	578.3	0.267	477.5	-47.7	
