Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	31.564156698	31.958716097	87.6	1016.4	0.395	928.8	-53.9	
2	Spectrogram 1	1	33.209232225	33.450711202	48.2	1309.9	0.241	1261.8	-55.7	
3	Spectrogram 1	1	40.645866652	41.018865428	105.1	990.1	0.373	885.0	-53.8	
4	Spectrogram 1	1	43.214601357	43.531542514	100.8	731.6	0.317	630.9	-48.5	
5	Spectrogram 1	1	43.958442848	44.143864205	74.5	858.7	0.185	784.2	-50.6	
6	Spectrogram 1	1	45.397400913	46.093809033	157.7	1191.7	0.696	1033.9	-50.7	
7	Spectrogram 1	1	46.143398465	46.445247186	113.9	714.1	0.302	600.2	-49.0	
8	Spectrogram 1	1	46.611263982	46.854899021	96.4	626.5	0.244	530.1	-52.1	
9	Spectrogram 1	1	46.863523270	47.055412814	192.8	709.7	0.192	517.0	-49.4	
10	Spectrogram 1	1	47.836461091	48.121061313	166.5	998.9	0.285	832.4	-55.8	
11	Spectrogram 1	1	48.604019266	49.147346964	219.1	1309.9	0.543	1090.9	-58.3	
12	Spectrogram 1	1	52.716054194	53.063180223	105.3	1164.8	0.347	1059.5	-54.6	
13	Spectrogram 1	1	53.620438399	53.833888566	55.8	960.3	0.213	904.6	-50.7	
14	Spectrogram 1	1	55.155406030	55.681485229	123.9	1524.2	0.526	1400.2	-55.8	
15	Spectrogram 1	1	57.292063760	57.585288232	68.2	1065.7	0.293	997.5	-56.2	
16	Spectrogram 1	1	58.798301580	59.348097465	173.5	1456.0	0.550	1282.5	-54.2	
17	Spectrogram 1	1	61.663708365	62.025926830	136.3	991.3	0.362	855.0	-54.9	
18	Spectrogram 1	1	63.059546631	63.641683449	74.3	1140.0	0.582	1065.7	-54.3	
19	Spectrogram 1	1	63.861601803	64.154826274	92.9	904.6	0.293	811.6	-52.3	
20	Spectrogram 1	1	64.370432503	64.657188788	80.5	824.0	0.287	743.5	-52.3	
21	Spectrogram 1	1	64.534293238	64.749899467	173.5	786.9	0.216	613.4	-50.3	
22	Spectrogram 1	1	64.786552526	64.954725384	130.1	855.0	0.168	724.9	-48.6	
23	Spectrogram 1	1	65.278134728	65.504521268	55.8	662.9	0.226	607.2	-45.0	
24	Spectrogram 1	1	68.641574216	68.908925940	105.3	786.9	0.267	681.5	-45.9	
25	Spectrogram 1	1	68.833463760	69.001636619	105.3	650.6	0.168	545.2	-41.1	
26	Spectrogram 1	1	68.734284895	68.850712258	185.9	470.9	0.116	285.0	-41.9	
27	Spectrogram 1	1	69.197838287	69.385415706	74.3	644.4	0.188	570.0	-48.3	
28	Spectrogram 1	1	69.527715818	69.730385673	49.6	632.0	0.203	582.4	-47.9	
29	Spectrogram 1	1	69.721761424	69.937367653	74.3	731.1	0.216	656.8	-48.9	
30	Spectrogram 1	1	70.403941625	70.738131280	86.7	749.7	0.334	662.9	-50.7	
31	Spectrogram 1	1	70.710102470	70.970986007	74.3	644.4	0.261	570.0	-47.5	
32	Spectrogram 1	1	70.966673883	71.143470990	86.7	613.4	0.177	526.6	-46.2	
33	Spectrogram 1	1	72.738236953	73.031461424	99.1	805.5	0.293	706.3	-50.9	
34	Spectrogram 1	1	73.624378554	73.878793905	74.3	941.8	0.254	867.4	-49.0	
35	Spectrogram 1	1	73.926227275	74.156925940	123.9	941.8	0.231	817.8	-48.2	
36	Spectrogram 1	1	74.189266875	74.482491346	111.5	768.3	0.293	656.8	-53.8	
37	Spectrogram 1	1	74.833929500	75.060316040	117.7	780.7	0.226	662.9	-48.4	
38	Spectrogram 1	1	74.971917486	75.228488899	49.6	607.2	0.257	557.6	-51.5	
39	Spectrogram 1	1	75.198304027	75.418222380	18.6	588.6	0.220	570.0	-45.5	
