Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	2.113737180	3.226684511	74.1	2246.9	1.113	2172.8	-54.8	
2	Spectrogram 1	1	38.825266581	39.243700267	123.5	1308.6	0.418	1185.2	-61.2	
3	Spectrogram 1	1	44.077833434	44.612738353	284.0	1802.5	0.535	1518.5	-62.1	
4	Spectrogram 1	1	45.346075742	45.958628149	49.4	1321.0	0.613	1271.6	-59.6	
5	Spectrogram 1	1	46.342551841	46.985300493	123.5	2160.5	0.643	2037.0	-50.7	
6	Spectrogram 1	1	51.965364493	52.232816953	160.5	1407.4	0.267	1246.9	-59.6	
7	Spectrogram 1	1	55.702888577	56.181714754	24.7	1321.0	0.479	1296.3	-59.0	
8	Spectrogram 1	1	59.861342946	60.409189113	185.2	1358.0	0.548	1172.8	-62.7	
9	Spectrogram 1	1	63.176209615	63.771507024	98.8	2185.2	0.595	2086.4	-60.9	
10	Spectrogram 1	1	86.039826000	86.462573436	123.5	1209.9	0.423	1086.4	-60.9	
11	Spectrogram 1	1	90.146228838	90.426622546	98.8	1024.7	0.280	925.9	-50.9	
12	Spectrogram 1	1	94.158089338	94.949895633	135.8	1395.1	0.792	1259.3	-52.0	
13	Spectrogram 1	1	97.936933765	98.351053702	123.5	827.2	0.414	703.7	-52.1	
14	Spectrogram 1	1	98.255037948	98.466411666	61.7	1037.0	0.211	975.3	-51.2	
15	Spectrogram 1	1	102.325097291	102.756472226	37.0	1209.9	0.431	1172.8	-55.6	
