Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	7.216671957	7.410790677	56.1	617.2	0.194	561.1	-64.7	
2	Spectrogram 1	1	30.895885041	31.171964999	43.6	735.7	0.276	692.0	-66.9	
3	Spectrogram 1	1	31.228043741	31.391966216	56.1	717.0	0.164	660.8	-64.8	
4	Spectrogram 1	1	32.487658550	32.733542262	56.1	654.6	0.246	598.5	-67.9	
5	Spectrogram 1	1	34.773945703	35.015515666	62.3	667.1	0.242	604.7	-70.2	
6	Spectrogram 1	1	38.348922165	38.801865846	199.5	1003.7	0.453	804.2	-58.9	
7	Spectrogram 1	1	42.883097246	43.586238389	180.8	1845.4	0.703	1664.6	-56.3	
8	Spectrogram 1	1	48.236135141	48.878883793	118.5	1359.1	0.643	1240.6	-47.9	
9	Spectrogram 1	1	52.984309940	53.614117344	43.6	1003.7	0.630	960.1	-54.1	
10	Spectrogram 1	1	54.105884770	54.748633422	180.8	1184.5	0.643	1003.7	-50.3	
11	Spectrogram 1	1	57.873197858	58.550456506	24.9	1028.7	0.677	1003.7	-51.8	
12	Spectrogram 1	1	66.302033382	66.491838353	49.9	710.7	0.190	660.8	-60.7	
13	Spectrogram 1	1	76.153798112	76.477329313	56.1	567.3	0.324	511.2	-47.0	
14	Spectrogram 1	1	76.356544331	76.623996791	74.8	660.8	0.267	586.0	-45.4	
15	Spectrogram 1	1	84.480885745	84.869123186	93.5	692.0	0.388	598.5	-52.9	
16	Spectrogram 1	1	84.972653170	85.287556872	99.8	685.8	0.315	586.0	-50.2	
17	Spectrogram 1	1	85.835403039	86.038149259	99.8	648.4	0.203	548.6	-56.5	
18	Spectrogram 1	1	87.958988938	88.140166411	106.0	604.7	0.181	498.8	-63.6	
19	Spectrogram 1	1	89.097818766	89.287623737	168.3	623.4	0.190	455.1	-61.0	
20	Spectrogram 1	1	90.899561213	91.072111187	62.3	511.2	0.173	448.9	-51.3	
21	Spectrogram 1	1	92.797610925	93.008984643	118.5	648.4	0.211	529.9	-51.9	
22	Spectrogram 1	1	93.228985860	93.397222085	87.3	698.3	0.168	611.0	-58.5	
23	Spectrogram 1	1	93.582713306	93.772518278	74.8	667.1	0.190	592.3	-55.5	
24	Spectrogram 1	1	95.752015495	96.079860446	56.1	698.3	0.328	642.1	-47.8	
25	Spectrogram 1	1	96.550059124	96.787315338	49.9	704.5	0.237	654.6	-51.5	
26	Spectrogram 1	1	102.261326904	102.679760590	68.6	760.6	0.418	692.0	-49.0	
27	Spectrogram 1	1	102.425249379	102.813486820	174.6	810.5	0.388	635.9	-48.3	
28	Spectrogram 1	1	103.050743034	103.249175504	62.3	685.8	0.198	623.4	-52.3	
29	Spectrogram 1	1	105.495983696	105.854024892	155.9	978.8	0.358	822.9	-57.9	
30	Spectrogram 1	1	106.746971006	107.044619711	43.6	847.9	0.298	804.2	-50.6	
31	Spectrogram 1	1	109.996398344	110.677970741	62.3	1371.6	0.682	1309.2	-61.9	
32	Spectrogram 1	1	112.092319653	112.709185810	43.6	1078.6	0.617	1034.9	-58.3	
33	Spectrogram 1	1	112.933500776	113.377816958	37.4	854.1	0.444	816.7	-52.1	
