Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	30.080317422	30.472418972	39.9	984.9	0.392	945.1	-51.8	
2	Spectrogram 1	1	34.601017636	34.943694620	39.9	1047.6	0.343	1007.7	-54.8	
3	Spectrogram 1	1	36.079626189	36.409123289	85.4	888.2	0.329	802.8	-54.4	
4	Spectrogram 1	1	36.372878608	36.781455012	125.3	945.1	0.409	819.8	-54.2	
5	Spectrogram 1	1	39.806238391	40.162095259	79.7	808.4	0.356	728.7	-58.6	
6	Spectrogram 1	1	40.439246927	40.716024491	79.7	734.4	0.277	654.7	-56.2	
7	Spectrogram 1	1	40.653420042	40.893952925	102.5	740.1	0.241	637.6	-52.5	
8	Spectrogram 1	1	42.360215020	42.541438425	176.5	780.0	0.181	603.5	-48.5	
9	Spectrogram 1	1	44.880867836	45.160940371	51.2	740.1	0.280	688.9	-53.3	
10	Spectrogram 1	1	43.889081565	44.373442302	244.8	1235.4	0.484	990.6	-52.6	
11	Spectrogram 1	1	46.760280982	47.251231661	79.7	928.0	0.491	848.3	-55.8	
12	Spectrogram 1	1	47.168857386	47.518124312	28.5	671.8	0.349	643.3	-58.6	
13	Spectrogram 1	1	49.205149464	49.557711362	79.7	842.6	0.353	762.9	-53.8	
14	Spectrogram 1	1	49.920158172	50.282604982	68.3	871.1	0.362	802.8	-55.5	
15	Spectrogram 1	1	58.940900148	59.356066494	102.5	802.8	0.415	700.3	-52.4	
16	Spectrogram 1	1	59.603189320	59.926096478	108.2	825.5	0.323	717.4	-52.6	
17	Spectrogram 1	1	62.265525889	62.585138076	85.4	745.8	0.320	660.4	-52.9	
18	Spectrogram 1	1	66.419676496	66.630554640	45.5	592.1	0.211	546.6	-47.7	
19	Spectrogram 1	1	67.457592361	67.773909578	113.9	916.6	0.316	802.8	-46.6	
20	Spectrogram 1	1	69.306194383	69.526957440	34.2	694.6	0.221	660.4	-45.2	
21	Spectrogram 1	1	70.587938102	70.795521275	102.5	694.6	0.208	592.1	-47.9	
22	Spectrogram 1	1	70.920730173	71.111838491	222.0	774.3	0.191	552.2	-51.1	
23	Spectrogram 1	1	71.978415865	72.199178922	91.1	666.1	0.221	575.0	-48.8	
24	Spectrogram 1	1	74.393476542	74.564815034	74.0	586.4	0.171	512.4	-48.5	
25	Spectrogram 1	1	74.706498787	75.045880800	91.1	751.5	0.339	660.4	-47.9	
26	Spectrogram 1	1	75.260053915	75.441277320	96.8	723.0	0.181	626.3	-45.1	
27	Spectrogram 1	1	75.526946566	75.701580029	148.0	688.9	0.175	540.9	-49.0	
28	Spectrogram 1	1	80.598531918	80.789640236	218.7	707.1	0.191	488.4	-49.4	
29	Spectrogram 1	1	80.710560932	80.924734047	51.0	605.1	0.214	554.0	-45.5	
30	Spectrogram 1	1	85.112642189	85.382829811	175.0	867.5	0.270	692.5	-48.5	
31	Spectrogram 1	1	92.753798932	92.911957541	51.0	641.5	0.158	590.5	-53.0	
32	Spectrogram 1	1	93.834549421	93.972938203	80.2	590.5	0.138	510.3	-48.8	
33	Spectrogram 1	1	96.243173223	96.579260265	131.2	765.4	0.336	634.2	-53.1	
34	Spectrogram 1	1	101.694811145	102.004538419	94.8	780.0	0.310	685.2	-52.6	
35	Spectrogram 1	1	102.370280200	102.857935909	153.1	1159.1	0.488	1006.0	-49.6	
36	Spectrogram 1	1	112.227893751	112.778153908	116.6	1261.1	0.550	1144.5	-56.8	
