Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	10.924324976	11.790450967	87.8	1806.2	0.866	1718.4	-55.3	
2	Spectrogram 1	1	29.452550487	29.940570715	98.8	1586.6	0.488	1487.8	-52.0	
3	Spectrogram 1	1	31.114286261	31.786962792	131.8	1410.9	0.673	1279.2	-57.1	
4	Spectrogram 1	1	36.146422426	36.665218705	71.4	1312.1	0.519	1240.7	-58.9	
5	Spectrogram 1	1	72.336931129	72.754606099	65.9	927.8	0.418	861.9	-55.6	
6	Spectrogram 1	1	79.432455319	79.788578188	153.7	1284.7	0.356	1130.9	-53.1	
7	Spectrogram 1	1	80.164485661	80.467849587	22.0	911.3	0.303	889.4	-40.1	
8	Spectrogram 1	1	90.607339261	91.046997125	87.8	1054.1	0.440	966.2	-53.2	
9	Spectrogram 1	1	92.559420175	92.968301988	54.9	1054.1	0.409	999.2	-58.7	
10	Spectrogram 1	1	94.335466994	94.682796706	38.4	889.4	0.347	850.9	-51.1	
11	Spectrogram 1	1	98.116345055	98.580184101	120.8	1076.0	0.464	955.3	-58.3	
12	Spectrogram 1	1	98.505442264	98.683503699	115.3	938.8	0.178	823.5	-49.4	
13	Spectrogram 1	1	98.617555019	98.956091574	87.8	960.7	0.339	872.9	-52.4	
14	Spectrogram 1	1	99.538638243	99.815622697	208.6	796.0	0.277	587.4	-53.1	
15	Spectrogram 1	1	100.329650037	100.501116604	510.6	1109.0	0.171	598.4	-57.1	
16	Spectrogram 1	1	103.813594905	104.125751988	115.3	1152.9	0.312	1037.6	-57.3	
17	Spectrogram 1	1	127.897928997	128.691511441	142.7	1905.0	0.794	1762.3	-57.1	
