Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	22.727577781	24.002641677	105.4	1588.9	1.275	1483.4	-53.0	
2	Spectrogram 1	1	37.812765758	38.178812809	165.7	1122.0	0.366	956.3	-59.8	
3	Spectrogram 1	1	38.184913594	38.557061429	120.5	911.1	0.372	790.7	-55.0	
4	Spectrogram 1	1	41.393926080	41.607453526	97.9	1189.8	0.214	1091.9	-53.5	
5	Spectrogram 1	1	45.255851601	45.618848261	233.4	1054.2	0.363	820.8	-55.1	
6	Spectrogram 1	1	47.459411772	47.610754300	105.4	1001.5	0.151	896.1	-53.1	
7	Spectrogram 1	1	49.273409192	49.506360109	173.2	1106.9	0.233	933.7	-55.2	
8	Spectrogram 1	1	49.596952132	49.752252744	105.4	1167.2	0.155	1061.7	-44.8	
9	Spectrogram 1	1	51.499846830	52.002416864	67.8	1046.7	0.503	978.9	-54.3	
10	Spectrogram 1	1	57.564042964	57.915626292	150.6	1061.7	0.352	911.1	-65.4	
11	Spectrogram 1	1	61.265081461	61.452736367	120.5	1475.9	0.188	1355.4	-58.5	
12	Spectrogram 1	1	64.456924976	64.804194399	406.6	1754.5	0.347	1347.9	-58.9	
13	Spectrogram 1	1	69.090075322	69.538721533	60.2	647.6	0.449	587.3	-60.0	
14	Spectrogram 1	1	69.950699544	70.127569684	150.6	1061.7	0.177	911.1	-56.3	
15	Spectrogram 1	1	73.206912771	73.711639759	67.8	994.0	0.505	926.2	-56.4	
16	Spectrogram 1	1	74.333982285	74.737332484	301.2	1031.6	0.403	730.4	-59.5	
17	Spectrogram 1	1	75.177350884	75.457754765	120.5	1167.2	0.280	1046.7	-49.1	
18	Spectrogram 1	1	80.474087784	80.743706902	135.5	1001.5	0.270	866.0	-53.1	
19	Spectrogram 1	1	82.234161381	82.542605651	105.4	881.0	0.308	775.6	-52.6	
20	Spectrogram 1	1	83.669829254	83.963174854	195.8	911.1	0.293	715.4	-54.4	
21	Spectrogram 1	1	84.644771982	85.082633428	67.8	926.2	0.438	858.4	-54.5	
22	Spectrogram 1	1	90.602938485	91.219827025	105.4	1204.8	0.617	1099.4	-51.6	
23	Spectrogram 1	1	97.247016022	97.674092704	173.2	1445.8	0.427	1272.6	-55.8	
24	Spectrogram 1	1	3.611664243	4.986875190	120.5	1566.3	1.375	1445.8	-51.3	
25	Spectrogram 1	1	13.557489777	13.988880364	150.6	1626.5	0.431	1475.9	-62.1	
