Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	4.283303417	4.606815759	256.0	1024.1	0.324	768.1	-62.5	
2	Spectrogram 1	1	31.673214746	31.785365692	195.8	783.1	0.112	587.3	-54.4	
3	Spectrogram 1	1	36.748629664	36.995688057	195.8	835.8	0.247	640.1	-56.5	
4	Spectrogram 1	1	42.741679358	42.915535264	225.9	1091.9	0.174	866.0	-49.1	
5	Spectrogram 1	1	43.144293035	43.342549770	120.5	783.1	0.198	662.7	-55.7	
6	Spectrogram 1	1	44.306382513	44.458887694	323.8	1009.0	0.153	685.2	-51.8	
7	Spectrogram 1	1	44.965636926	45.200494904	143.1	692.8	0.235	549.7	-52.8	
8	Spectrogram 1	1	51.878136731	52.036742120	233.4	805.7	0.159	572.3	-48.9	
9	Spectrogram 1	1	52.149595953	52.323451860	323.8	820.8	0.174	497.0	-45.9	
10	Spectrogram 1	1	52.805368231	52.963973619	143.1	738.0	0.159	594.9	-49.7	
11	Spectrogram 1	1	55.076758533	55.275015268	120.5	715.4	0.198	594.9	-53.4	
12	Spectrogram 1	1	57.124122347	57.273577425	414.2	760.5	0.149	346.4	-53.0	
13	Spectrogram 1	1	59.490065861	59.709673322	135.5	655.1	0.220	519.6	-52.3	
14	Spectrogram 1	1	62.716873531	62.997483064	75.3	617.5	0.281	542.2	-47.8	
15	Spectrogram 1	1	63.015783686	63.192689695	173.2	730.4	0.177	557.2	-42.0	
16	Spectrogram 1	1	69.794712921	70.026520795	15.1	632.5	0.232	617.5	-44.3	
17	Spectrogram 1	1	78.277079196	78.469235724	173.2	722.9	0.192	549.7	-42.8	
18	Spectrogram 1	1	80.091890849	80.396901210	75.3	640.1	0.305	564.8	-54.3	
19	Spectrogram 1	1	80.409101625	80.555506599	241.0	670.2	0.146	429.2	-45.0	
20	Spectrogram 1	1	80.503654837	80.643959603	286.1	617.5	0.140	331.3	-41.4	
21	Spectrogram 1	1	83.876876894	84.184937359	75.3	587.3	0.308	512.0	-51.9	
22	Spectrogram 1	1	85.115218963	85.304325387	52.7	692.8	0.189	640.1	-51.1	
23	Spectrogram 1	1	90.203021870	90.477531195	180.7	662.7	0.275	481.9	-57.6	
24	Spectrogram 1	1	90.483631403	90.654437205	225.9	625.0	0.171	399.1	-42.5	
25	Spectrogram 1	1	96.631611806	96.900020924	105.4	715.4	0.268	609.9	-49.3	
26	Spectrogram 1	1	100.118523580	100.341181144	113.0	715.4	0.223	602.4	-52.2	
27	Spectrogram 1	1	100.450984874	100.734644511	45.2	677.7	0.284	632.5	-49.3	
28	Spectrogram 1	1	105.168457330	105.500918624	60.2	1009.0	0.332	948.8	-51.7	
29	Spectrogram 1	1	119.267240745	119.697305355	225.9	1167.2	0.430	941.3	-57.3	
