Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	11.602150517	11.873609320	255.6	1043.6	0.271	788.0	-57.0	
2	Spectrogram 1	1	24.184691299	24.761159993	143.8	633.6	0.576	489.9	-50.9	
3	Spectrogram 1	1	38.927648325	39.025251490	165.1	676.2	0.098	511.2	-48.7	
4	Spectrogram 1	1	39.031351687	39.144205347	186.4	628.3	0.113	441.9	-50.4	
5	Spectrogram 1	1	47.607422050	47.915482039	31.9	734.8	0.308	702.8	-49.6	
6	Spectrogram 1	1	51.425208990	51.541112749	186.4	708.2	0.116	521.8	-49.7	
7	Spectrogram 1	1	51.519762056	51.650916309	175.7	612.3	0.131	436.6	-46.4	
8	Spectrogram 1	1	53.239604575	53.498862982	324.8	836.0	0.259	511.2	-52.4	
9	Spectrogram 1	1	58.393656506	58.537011155	42.6	644.3	0.143	601.7	-49.6	
10	Spectrogram 1	1	67.416869565	67.483971741	117.1	846.6	0.067	729.5	-48.2	
11	Spectrogram 1	1	76.933840260	77.116846194	170.4	740.1	0.183	569.7	-52.7	
12	Spectrogram 1	1	77.309002425	77.531659646	255.6	809.3	0.223	553.8	-50.8	
13	Spectrogram 1	1	83.280168608	83.572978103	69.6	733.9	0.293	664.3	-55.6	
14	Spectrogram 1	1	89.480937504	89.758496505	26.8	594.6	0.278	567.8	-52.5	
15	Spectrogram 1	1	91.307946750	91.530603970	69.6	664.3	0.223	594.6	-50.5	
16	Spectrogram 1	1	93.343318315	93.569025634	139.3	680.3	0.226	541.0	-56.8	
17	Spectrogram 1	1	94.767512548	94.987119669	101.8	551.8	0.220	450.0	-51.4	
18	Spectrogram 1	1	95.145724813	95.371432132	144.6	723.2	0.226	578.5	-55.4	
19	Spectrogram 1	1	96.259010914	96.545720211	80.4	723.2	0.287	642.8	-49.7	
20	Spectrogram 1	1	96.426766354	96.628072882	101.8	541.0	0.201	439.3	-48.1	
21	Spectrogram 1	1	96.829379409	97.058136828	107.1	675.0	0.229	567.8	-50.7	
22	Spectrogram 1	1	101.432208734	101.706717636	160.7	744.6	0.275	583.9	-49.5	
23	Spectrogram 1	1	104.448765905	104.698874015	128.6	642.8	0.250	514.3	-52.4	
24	Spectrogram 1	1	105.745057940	105.989065853	144.6	723.2	0.244	578.5	-56.9	
25	Spectrogram 1	1	107.426618033	107.646225154	117.9	697.6	0.220	579.8	-50.3	
27	Spectrogram 1	1	124.473888491	124.769748085	270.9	914.4	0.296	643.4	-53.9	
28	Spectrogram 1	1	128.192914653	128.467423555	47.4	684.1	0.275	636.7	-54.2	
