Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	1.875774193	2.059039488	109.5	731.6	0.183	622.1	-50.3	
2	Spectrogram 1	1	2.759759732	3.029267519	30.7	622.1	0.270	591.4	-52.2	
3	Spectrogram 1	1	3.356988987	3.579063403	113.9	683.4	0.222	569.5	-50.2	
4	Spectrogram 1	1	4.784397353	4.997847520	87.6	753.5	0.213	665.9	-47.4	
5	Spectrogram 1	1	4.887888343	5.090558199	127.1	582.7	0.203	455.6	-44.4	
6	Spectrogram 1	1	7.347235284	7.929372103	210.3	1340.6	0.582	1130.3	-51.7	
7	Spectrogram 1	1	12.980930390	13.237501803	122.7	863.1	0.257	740.4	-48.9	
8	Spectrogram 1	1	14.334937509	14.561324049	201.5	701.0	0.226	499.4	-57.6	
9	Spectrogram 1	1	16.734285785	17.171966430	210.3	898.1	0.438	687.8	-54.6	
10	Spectrogram 1	1	18.874093682	19.208283337	52.6	771.1	0.334	718.5	-43.5	
11	Spectrogram 1	1	15.564538066	16.146674884	236.6	906.9	0.582	670.3	-55.4	
12	Spectrogram 1	1	20.452331279	20.626972325	87.6	705.4	0.175	617.7	-48.9	
13	Spectrogram 1	1	22.762469544	23.137624383	100.8	718.5	0.375	617.7	-53.6	
14	Spectrogram 1	1	24.753509144	24.945398688	105.1	622.1	0.192	517.0	-44.0	
15	Spectrogram 1	1	25.367986897	25.585749188	223.4	692.2	0.218	468.8	-43.4	
16	Spectrogram 1	1	25.387391457	25.656899244	57.0	477.5	0.270	420.6	-43.4	
17	Spectrogram 1	1	25.684928053	25.874661535	74.5	652.8	0.190	578.3	-46.4	
18	Spectrogram 1	1	26.750134728	26.933400023	135.8	740.4	0.183	604.6	-52.6	
19	Spectrogram 1	1	28.892098688	29.064583671	157.7	863.1	0.172	705.4	-50.0	
20	Spectrogram 1	1	34.549992014	35.028637842	272.6	1121.4	0.479	848.8	-51.7	
21	Spectrogram 1	1	32.368056976	32.965286230	142.5	1115.2	0.597	972.7	-49.9	
22	Spectrogram 1	1	36.616493794	36.847192459	24.8	669.1	0.231	644.4	-49.3	
23	Spectrogram 1	1	38.522664928	38.587346797	92.9	836.4	0.065	743.5	-46.5	
24	Spectrogram 1	1	41.488115095	41.777027442	62.0	601.0	0.289	539.0	-51.6	
25	Spectrogram 1	1	44.571266485	45.006791068	130.1	830.2	0.436	700.1	-53.6	
