Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	38.684824194	38.886142767	191.4	611.1	0.201	419.8	-58.2	
2	Spectrogram 1	1	40.006701730	40.436791410	197.5	938.3	0.430	740.7	-57.4	
3	Spectrogram 1	1	42.892349446	43.075366331	80.2	592.6	0.183	512.3	-53.6	
4	Spectrogram 1	1	43.224830120	43.511556573	43.2	796.3	0.287	753.1	-58.6	
5	Spectrogram 1	1	44.173467640	44.548652254	30.9	617.3	0.375	586.4	-53.9	
6	Spectrogram 1	1	45.201097427	45.344460654	43.2	543.2	0.143	500.0	-58.2	
7	Spectrogram 1	1	46.503567591	46.701835883	12.3	586.4	0.198	574.1	-59.5	
8	Spectrogram 1	1	47.147176970	47.440003986	123.5	672.8	0.293	549.4	-53.6	
9	Spectrogram 1	1	48.660792913	48.801105858	111.1	555.6	0.140	444.4	-57.6	
10	Spectrogram 1	1	51.110168889	51.262682960	123.5	598.8	0.153	475.3	-60.4	
11	Spectrogram 1	1	42.148407349	42.465636616	111.1	691.4	0.317	580.2	-63.1	
12	Spectrogram 1	1	46.893895122	47.223325515	37.0	1092.6	0.329	1055.6	-56.3	
13	Spectrogram 1	1	53.292120049	53.645952693	37.0	963.0	0.354	925.9	-59.6	
14	Spectrogram 1	1	54.491862321	54.662678081	78.6	628.5	0.171	550.0	-66.9	
15	Spectrogram 1	1	54.873147498	55.019561006	113.5	602.4	0.146	488.9	-58.8	
16	Spectrogram 1	1	55.086667197	55.382544495	87.3	925.3	0.296	838.1	-57.5	
17	Spectrogram 1	1	56.059494793	56.160154079	26.2	384.1	0.101	357.9	-59.3	
18	Spectrogram 1	1	56.568891789	56.706154453	78.6	576.2	0.137	497.6	-58.4	
19	Spectrogram 1	1	57.395518052	57.688345068	43.6	785.7	0.293	742.0	-53.6	
20	Spectrogram 1	1	58.991571246	59.327102201	314.3	1257.1	0.336	942.8	-57.3	
21	Spectrogram 1	1	59.375906704	59.659582876	52.4	776.9	0.284	724.6	-55.1	
22	Spectrogram 1	1	63.074372182	63.309243851	34.9	480.1	0.235	445.2	-48.0	
23	Spectrogram 1	1	63.590528281	63.779645729	96.0	628.5	0.189	532.5	-57.8	
24	Spectrogram 1	1	65.484517024	65.774293759	34.9	427.8	0.290	392.8	-59.0	
25	Spectrogram 1	1	67.247579682	67.522105010	43.6	689.6	0.275	646.0	-47.7	
26	Spectrogram 1	1	68.282716553	68.477934564	52.4	759.5	0.195	707.1	-53.1	
27	Spectrogram 1	1	68.672434086	68.980512509	122.2	934.1	0.308	811.9	-51.8	
28	Spectrogram 1	1	69.404501626	69.648524139	270.6	1021.4	0.244	750.8	-48.8	
29	Spectrogram 1	1	69.913898622	70.173172542	227.0	715.8	0.259	488.9	-51.1	
30	Spectrogram 1	1	70.148770291	70.426345900	165.9	663.5	0.278	497.6	-51.9	
31	Spectrogram 1	1	70.947944022	71.115709500	104.8	742.0	0.168	637.3	-55.8	
32	Spectrogram 1	1	71.151204648	71.386076317	165.9	811.9	0.235	646.0	-55.9	
33	Spectrogram 1	1	75.285351828	75.883206985	34.9	488.9	0.598	453.9	-47.8	
34	Spectrogram 1	1	77.398020775	77.672546102	43.6	864.2	0.275	820.6	-36.5	
35	Spectrogram 1	1	78.660837280	78.971965985	96.0	750.8	0.311	654.7	-36.6	
36	Spectrogram 1	1	79.979312895	80.308743288	26.2	680.9	0.329	654.7	-37.5	
37	Spectrogram 1	1	81.402618242	81.597836253	78.6	576.2	0.195	497.6	-41.3	
38	Spectrogram 1	1	81.759501168	81.963870022	130.9	515.1	0.204	384.1	-38.9	
39	Spectrogram 1	1	83.436696292	83.695970212	157.1	602.4	0.259	445.2	-49.1	
40	Spectrogram 1	1	84.116909047	84.257221992	26.2	724.6	0.140	698.4	-60.8	
41	Spectrogram 1	1	85.166305297	85.297467398	209.5	523.8	0.131	314.3	-57.0	
42	Spectrogram 1	1	85.977173026	86.193743006	87.3	680.9	0.217	593.6	-50.1	
43	Spectrogram 1	1	87.836333157	88.031551168	52.4	776.9	0.195	724.6	-52.9	
44	Spectrogram 1	1	87.278131658	87.433696010	113.5	576.2	0.156	462.7	-61.4	
45	Spectrogram 1	1	89.144779688	89.648076122	34.9	1117.4	0.503	1082.5	-49.4	
46	Spectrogram 1	1	90.966008955	91.155126403	78.6	873.0	0.189	794.4	-54.7	
47	Spectrogram 1	1	92.680267110	92.970043845	69.8	969.0	0.290	899.2	-52.5	
48	Spectrogram 1	1	94.049371435	94.326947044	104.8	977.7	0.278	873.0	-60.3	
49	Spectrogram 1	1	94.543517024	94.924802201	61.1	855.5	0.381	794.4	-59.4	
50	Spectrogram 1	1	95.354891881	95.632467490	69.8	680.9	0.278	611.1	-67.0	
51	Spectrogram 1	1	95.751428465	96.099160546	78.6	750.8	0.348	672.2	-60.4	
52	Spectrogram 1	1	96.883082870	97.224714388	69.8	820.6	0.342	750.8	-54.7	
53	Spectrogram 1	1	97.108803694	97.593798439	130.9	951.5	0.485	820.6	-57.8	
54	Spectrogram 1	1	97.559562051	97.754780061	87.3	646.0	0.195	558.7	-58.9	
55	Spectrogram 1	1	98.842218994	99.128945447	61.1	715.8	0.287	654.7	-72.2	
56	Spectrogram 1	1	99.379068523	99.644443006	52.4	969.0	0.265	916.6	-55.3	
57	Spectrogram 1	1	100.648196854	100.782409237	113.5	663.5	0.134	550.0	-71.8	
58	Spectrogram 1	1	101.775513085	101.961580251	69.8	794.4	0.186	724.6	-62.6	
59	Spectrogram 1	1	102.403871056	102.736351730	69.8	742.0	0.332	672.2	-63.8	
60	Spectrogram 1	1	103.774986161	104.259980906	17.5	1152.3	0.485	1134.9	-61.4	
61	Spectrogram 1	1	104.907187286	104.992595166	61.1	558.7	0.085	497.6	-62.6	
62	Spectrogram 1	1	105.230517116	105.788718615	43.6	1353.1	0.558	1309.5	-62.1	
63	Spectrogram 1	1	107.593801920	107.962885971	43.6	715.8	0.369	672.2	-60.4	
64	Spectrogram 1	1	107.911031187	108.264863831	52.4	977.7	0.354	925.3	-59.2	
65	Spectrogram 1	1	118.371670585	118.841413923	130.9	1248.3	0.470	1117.4	-61.3	
66	Spectrogram 1	1	118.505882967	119.061034185	148.4	1030.1	0.555	881.7	-61.7	
67	Spectrogram 1	1	120.318394322	120.876595821	69.8	1772.1	0.558	1702.3	-62.0	
