Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	6.477596265	6.996195285	53.9	1142.6	0.519	1088.7	-57.2	
2	Spectrogram 1	1	34.702235252	35.314676001	64.7	1164.1	0.612	1099.5	-61.7	
3	Spectrogram 1	1	35.601140222	36.183946740	97.0	1282.7	0.583	1185.7	-61.3	
4	Spectrogram 1	1	38.788340681	39.139012400	118.6	883.9	0.351	765.3	-62.3	
5	Spectrogram 1	1	39.410659506	39.944075642	118.6	1099.5	0.533	980.9	-60.6	
6	Spectrogram 1	1	42.533585668	42.686695855	129.3	506.6	0.153	377.3	-67.0	
7	Spectrogram 1	1	43.057123727	43.551027557	53.9	1056.3	0.494	1002.5	-56.7	
8	Spectrogram 1	1	43.768345242	44.272127148	64.7	1067.1	0.504	1002.5	-57.1	
9	Spectrogram 1	1	46.255380451	46.546783710	86.2	1390.5	0.291	1304.3	-57.5	
10	Spectrogram 1	1	46.364039293	46.912272544	64.7	1164.1	0.548	1099.5	-58.6	
11	Spectrogram 1	1	46.660381591	47.114773114	118.6	862.3	0.454	743.8	-59.4	
12	Spectrogram 1	1	47.880324049	48.117397887	118.6	582.1	0.237	463.5	-52.7	
13	Spectrogram 1	1	48.008739045	48.285325189	129.3	840.8	0.277	711.4	-53.1	
14	Spectrogram 1	1	48.102580772	48.403862108	150.9	851.5	0.301	700.6	-54.2	
15	Spectrogram 1	1	48.971851512	49.357096499	107.8	1250.4	0.385	1142.6	-55.2	
16	Spectrogram 1	1	50.415504654	50.835322909	107.8	970.1	0.420	862.3	-56.5	
17	Spectrogram 1	1	50.820505794	51.151421360	150.9	1034.8	0.331	883.9	-51.9	
18	Spectrogram 1	1	50.963737905	51.403312313	150.9	1293.5	0.440	1142.6	-54.9	
19	Spectrogram 1	1	54.269367574	54.531136604	107.8	582.1	0.262	474.3	-64.2	
20	Spectrogram 1	1	54.531136604	54.763271404	107.8	614.4	0.232	506.6	-64.7	
21	Spectrogram 1	1	55.518944262	55.815286560	118.6	679.1	0.296	560.5	-53.3	
22	Spectrogram 1	1	55.958518671	56.210409624	97.0	603.6	0.252	506.6	-34.4	
23	Spectrogram 1	1	56.679618261	56.867301717	150.9	646.7	0.188	495.8	-52.2	
24	Spectrogram 1	1	56.773459989	56.971021521	97.0	549.7	0.198	452.7	-50.7	
25	Spectrogram 1	1	57.015472865	57.247607665	140.1	668.3	0.232	528.2	-55.3	
26	Spectrogram 1	1	57.420474005	57.667425920	129.3	614.4	0.247	485.1	-57.5	
27	Spectrogram 1	1	55.376165075	55.687324487	247.9	797.7	0.311	549.7	-54.3	
28	Spectrogram 1	1	59.256653070	59.380129028	43.1	614.4	0.123	571.3	-48.0	
29	Spectrogram 1	1	60.293851112	60.535863988	129.3	625.2	0.242	495.8	-44.9	
30	Spectrogram 1	1	60.442022261	60.629705716	64.7	592.8	0.188	528.2	-49.1	
31	Spectrogram 1	1	62.195380855	62.348491042	75.5	603.6	0.153	528.2	-45.4	
32	Spectrogram 1	1	62.285844672	62.557491778	75.5	625.2	0.272	549.7	-42.9	
33	Spectrogram 1	1	63.426762517	63.782373275	43.1	927.0	0.356	883.9	-46.4	
34	Spectrogram 1	1	64.419509214	64.617070746	64.7	711.4	0.198	646.7	-48.7	
35	Spectrogram 1	1	98.281279720	98.567743941	53.9	636.0	0.286	582.1	-41.6	
36	Spectrogram 1	1	98.844330085	99.101160076	43.1	463.5	0.257	420.4	-46.0	
37	Spectrogram 1	1	99.209818919	99.506161217	86.2	539.0	0.296	452.7	-47.6	
38	Spectrogram 1	1	99.540734485	99.866711012	97.0	485.1	0.326	388.0	-46.2	
39	Spectrogram 1	1	103.342841251	103.579915090	86.2	528.2	0.237	441.9	-41.2	
40	Spectrogram 1	1	106.246995768	106.454435376	150.9	668.3	0.207	517.4	-42.8	
41	Spectrogram 1	1	110.297175233	110.716993488	118.6	1099.5	0.420	980.9	-47.7	
42	Spectrogram 1	1	118.213170673	118.479878741	53.9	948.6	0.267	894.7	-48.4	
43	Spectrogram 1	1	122.393134324	122.758623157	118.6	1174.9	0.365	1056.3	-65.0	
44	Spectrogram 1	1	125.899851512	126.388816303	75.5	819.2	0.489	743.8	-51.3	
