Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	5.105294565	5.920593191	123.5	1950.6	0.815	1827.2	-65.3	
2	Spectrogram 1	1	27.381785298	27.744140243	98.8	851.9	0.362	753.1	-68.4	
3	Spectrogram 1	1	40.355889055	40.778636491	111.1	851.9	0.423	740.7	-60.9	
4	Spectrogram 1	1	45.103337743	45.465692688	123.5	1061.7	0.362	938.3	-60.6	
5	Spectrogram 1	1	45.599418918	45.853930129	296.3	1296.3	0.255	1000.0	-55.3	
6	Spectrogram 1	1	55.940908211	56.238556916	111.1	790.1	0.298	679.0	-57.2	
7	Spectrogram 1	1	67.483358397	67.681790867	185.2	617.3	0.198	432.1	-53.7	
8	Spectrogram 1	1	58.235887990	58.529222946	321.0	963.0	0.293	642.0	-69.1	
9	Spectrogram 1	1	59.486875300	59.849230246	345.7	1098.8	0.362	753.1	-71.4	
10	Spectrogram 1	1	61.525289336	61.822938041	24.7	753.1	0.298	728.4	-65.3	
11	Spectrogram 1	1	89.530894904	89.798347364	296.3	876.5	0.267	580.2	-45.2	
12	Spectrogram 1	1	97.645066979	98.024676921	0.0	802.5	0.380	802.5	-31.1	
13	Spectrogram 1	1	94.957601136	95.134464859	49.4	642.0	0.177	592.6	-32.4	
