Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	10.131099277	10.995473018	170.2	1649.9	0.864	1479.7	-50.6	
2	Spectrogram 1	1	29.481487413	30.187804242	222.6	1388.0	0.706	1165.4	-58.8	
3	Spectrogram 1	1	35.013202238	35.250287607	39.3	563.1	0.237	523.8	-63.1	
4	Spectrogram 1	1	45.709169104	45.911679524	91.7	772.6	0.203	680.9	-58.6	
5	Spectrogram 1	1	50.832061593	51.064207683	196.4	969.0	0.232	772.6	-45.2	
6	Spectrogram 1	1	53.430122094	53.657328906	78.6	772.6	0.227	694.0	-58.9	
7	Spectrogram 1	1	57.552838426	57.844255859	78.6	707.1	0.291	628.5	-51.7	
8	Spectrogram 1	1	78.779334072	79.075690783	26.2	536.9	0.296	510.7	-47.8	
9	Spectrogram 1	1	105.054147305	105.562892992	117.9	1047.6	0.509	929.7	-44.2	
10	Spectrogram 1	1	112.377405270	112.826879615	104.8	1126.1	0.449	1021.4	-48.3	
