Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	35.098664116	35.478274059	80.2	833.3	0.380	753.1	-60.5	
2	Spectrogram 1	1	35.232390346	35.590431542	86.4	716.0	0.358	629.6	-59.7	
3	Spectrogram 1	1	35.728471521	36.069257719	55.6	722.2	0.341	666.7	-71.9	
4	Spectrogram 1	1	37.639462481	37.975934930	142.0	697.5	0.336	555.6	-55.9	
5	Spectrogram 1	1	51.258501881	51.745955558	142.0	648.1	0.487	506.2	-43.2	
6	Spectrogram 1	1	53.583612779	53.825182742	98.8	530.9	0.242	432.1	-58.8	
7	Spectrogram 1	1	48.549467292	48.778096008	123.5	611.1	0.229	487.7	-64.8	
8	Spectrogram 1	1	56.846318899	56.975731380	80.2	623.5	0.129	543.2	-55.1	
9	Spectrogram 1	1	57.458871306	57.687500022	253.1	611.1	0.229	358.0	-55.6	
11	Spectrogram 1	1	59.654569723	59.913394684	37.0	586.4	0.259	549.4	-59.0	
12	Spectrogram 1	1	57.575342539	58.028286220	123.5	833.3	0.453	709.9	-51.0	
13	Spectrogram 1	1	62.030111181	62.219916152	172.8	598.8	0.190	425.9	-69.0	
14	Spectrogram 1	1	71.157025960	71.273497192	154.3	598.8	0.116	444.4	-50.2	
15	Spectrogram 1	1	71.428792169	71.937814592	117.3	629.6	0.509	512.3	-56.2	
16	Spectrogram 1	1	75.925942220	76.176139682	92.6	598.8	0.250	506.2	-68.5	
17	Spectrogram 1	1	89.355710596	89.567084314	18.5	530.9	0.211	512.3	-66.8	
18	Spectrogram 1	1	92.618772802	92.985441496	30.9	697.5	0.367	666.7	-58.8	
19	Spectrogram 1	1	98.557782349	98.812293561	37.0	666.7	0.255	629.6	-59.9	
20	Spectrogram 1	1	98.721704824	99.071118522	61.7	691.4	0.349	629.6	-56.1	
21	Spectrogram 1	1	99.217785999	99.774259665	37.0	802.5	0.556	765.4	-60.0	
22	Spectrogram 1	1	100.593872041	100.900148244	67.9	784.0	0.306	716.0	-58.0	
23	Spectrogram 1	1	105.096314189	105.691611598	191.4	759.3	0.595	567.9	-71.9	
24	Spectrogram 1	1	108.560565981	108.909979678	111.1	1185.2	0.349	1074.1	-58.2	
25	Spectrogram 1	1	116.873872036	117.870348135	142.0	1444.4	0.996	1302.5	-61.2	
26	Spectrogram 1	1	121.730664382	122.679689238	123.5	1623.5	0.949	1500.0	-62.1	
27	Spectrogram 1	1	125.112021118	125.927319744	197.5	1821.0	0.815	1623.5	-59.4	
