Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	7.322764389	7.702374332	271.6	1222.2	0.380	950.6	-56.4	
2	Spectrogram 1	1	24.426685341	25.423161440	74.1	1654.3	0.996	1580.2	-52.9	
3	Spectrogram 1	1	32.081757697	32.457053890	98.8	814.8	0.375	716.0	-57.6	
4	Spectrogram 1	1	32.254307671	32.608035117	135.8	814.8	0.354	679.0	-56.2	
5	Spectrogram 1	1	37.411520322	38.002503982	61.7	1135.8	0.591	1074.1	-59.1	
6	Spectrogram 1	1	38.287211439	38.873881350	61.7	1074.1	0.587	1012.3	-59.4	
7	Spectrogram 1	1	39.279373788	39.874671198	148.1	1370.4	0.595	1222.2	-51.9	
8	Spectrogram 1	1	40.532394756	40.765337220	24.7	703.7	0.233	679.0	-63.3	
9	Spectrogram 1	1	41.321810886	41.895539549	98.8	1296.3	0.574	1197.5	-61.2	
10	Spectrogram 1	1	42.646131935	43.168095606	61.7	1234.6	0.522	1172.8	-54.1	
11	Spectrogram 1	1	42.870446901	43.392410572	111.1	1086.4	0.522	975.3	-55.3	
12	Spectrogram 1	1	46.057912091	46.441835783	49.4	950.6	0.384	901.2	-56.1	
13	Spectrogram 1	1	48.577141709	48.978320398	49.4	851.9	0.401	802.5	-54.7	
14	Spectrogram 1	1	48.974006649	49.336361594	74.1	790.1	0.362	716.0	-55.5	
15	Spectrogram 1	1	49.979458158	50.341813103	74.1	851.9	0.362	777.8	-52.8	
16	Spectrogram 1	1	50.587696815	50.919855515	74.1	753.1	0.332	679.0	-53.5	
17	Spectrogram 1	1	51.273582962	51.446132935	49.4	765.4	0.173	716.0	-52.1	
18	Spectrogram 1	1	54.222056499	54.558528948	98.8	691.4	0.336	592.6	-49.8	
19	Spectrogram 1	1	54.437743967	54.692255178	123.5	679.0	0.255	555.6	-50.1	
20	Spectrogram 1	1	54.636176437	54.916570144	148.1	814.8	0.280	666.7	-50.9	
21	Spectrogram 1	1	54.718137674	54.955393888	74.1	938.3	0.237	864.2	-51.7	
