Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	34.201479570	34.788149481	273.3	1789.8	0.587	1516.5	-54.1	
2	Spectrogram 1	1	38.826229322	39.361134240	141.1	1428.3	0.535	1287.3	-54.3	
3	Spectrogram 1	1	42.606237535	43.108503868	246.9	1551.8	0.502	1304.9	-55.8	
4	Spectrogram 1	1	48.899700598	49.227545548	44.1	520.2	0.328	476.1	-60.2	
5	Spectrogram 1	1	54.225149216	54.458091680	88.2	978.7	0.233	890.5	-51.4	
6	Spectrogram 1	1	54.712602892	54.936917858	79.4	881.7	0.224	802.3	-47.4	
7	Spectrogram 1	1	55.303586552	55.700451492	61.7	802.3	0.397	740.6	-51.4	
8	Spectrogram 1	1	57.067910035	57.585559956	61.7	740.6	0.518	678.9	-57.5	
9	Spectrogram 1	1	59.044725374	59.156882857	590.7	1093.3	0.112	502.6	-57.2	
10	Spectrogram 1	1	58.997274131	59.260412841	61.7	1031.6	0.263	969.8	-52.1	
11	Spectrogram 1	1	59.312177833	59.527865300	202.8	864.0	0.216	661.3	-53.7	
12	Spectrogram 1	1	62.333993130	62.618700587	220.4	1172.6	0.285	952.2	-50.5	
13	Spectrogram 1	1	62.627328086	62.765368065	246.9	758.2	0.138	511.4	-51.6	
14	Spectrogram 1	1	63.075958018	63.291645485	61.7	846.4	0.216	784.7	-53.8	
15	Spectrogram 1	1	67.457403215	67.884464400	220.4	846.4	0.427	626.0	-66.5	
16	Spectrogram 1	1	68.389173073	68.734273021	246.9	1216.7	0.345	969.8	-63.8	
17	Spectrogram 1	1	73.819041827	74.246103012	220.4	1199.1	0.427	978.7	-48.9	
18	Spectrogram 1	1	75.367677842	75.725719038	123.4	881.7	0.358	758.2	-63.2	
19	Spectrogram 1	1	76.342585194	76.571213909	246.9	934.6	0.229	687.7	-64.4	
20	Spectrogram 1	1	74.936302907	75.108852881	123.4	687.7	0.173	564.3	-63.6	
21	Spectrogram 1	1	84.864224970	85.084226187	299.8	652.4	0.220	352.7	-57.5	
22	Spectrogram 1	1	85.364619894	85.752857336	326.2	1234.4	0.388	908.1	-50.5	
23	Spectrogram 1	1	85.821877325	86.076388537	123.4	767.1	0.255	643.6	-48.9	
24	Spectrogram 1	1	96.733950692	97.018658149	194.0	696.5	0.285	502.6	-52.6	
