Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	2.730603336	3.722765686	17.6	1816.3	0.992	1798.6	-57.8	
2	Spectrogram 1	1	1.082751086	1.971383451	149.9	1322.5	0.889	1172.6	-70.1	
3	Spectrogram 1	1	17.219067549	18.034366175	185.2	2116.0	0.815	1930.9	-57.3	
4	Spectrogram 1	1	30.618256027	31.028062215	105.8	1287.3	0.410	1181.5	-63.5	
5	Spectrogram 1	1	32.697483212	32.870033186	44.1	564.3	0.173	520.2	-63.0	
6	Spectrogram 1	1	33.335918115	34.121020496	114.6	1860.3	0.785	1745.7	-48.8	
7	Spectrogram 1	1	38.529515148	39.241283790	123.4	1701.6	0.712	1578.2	-53.6	
8	Spectrogram 1	1	40.069523665	40.328348625	88.2	731.8	0.259	643.6	-49.6	
9	Spectrogram 1	1	44.031397852	44.303164061	97.0	767.1	0.272	670.1	-44.0	
10	Spectrogram 1	1	46.843962426	47.154552379	149.9	908.1	0.311	758.2	-48.6	
11	Spectrogram 1	1	48.786176460	49.355591374	26.5	731.8	0.569	705.3	-58.5	
12	Spectrogram 1	1	50.244223739	50.602264935	132.3	925.8	0.358	793.5	-50.0	
13	Spectrogram 1	1	51.823055999	52.245803435	123.4	1058.0	0.423	934.6	-55.1	
14	Spectrogram 1	1	51.883448490	52.077567211	484.9	1349.0	0.194	864.0	-54.1	
15	Spectrogram 1	1	56.098276415	56.499455104	194.0	1181.5	0.401	987.5	-59.1	
16	Spectrogram 1	1	62.965421492	63.163853962	61.7	573.1	0.198	511.4	-67.6	
17	Spectrogram 1	1	64.272487544	64.600332495	52.9	978.7	0.328	925.8	-56.6	
18	Spectrogram 1	1	65.432886118	65.808182311	52.9	1128.5	0.375	1075.6	-52.6	
19	Spectrogram 1	1	66.778775914	67.037600875	35.3	811.1	0.259	775.9	-49.7	
20	Spectrogram 1	1	67.834647135	68.084844597	114.6	590.7	0.250	476.1	-54.6	
21	Spectrogram 1	1	68.412689547	68.658573260	123.4	687.7	0.246	564.3	-49.3	
22	Spectrogram 1	1	69.085634445	69.435048142	70.5	705.3	0.349	634.8	-51.8	
23	Spectrogram 1	1	69.672304356	69.961325562	141.1	767.1	0.289	626.0	-41.8	
24	Spectrogram 1	1	69.974266811	70.241719270	141.1	714.2	0.267	573.1	-44.0	
25	Spectrogram 1	1	84.936604756	85.324842197	70.5	758.2	0.388	687.7	-53.0	
26	Spectrogram 1	1	85.229939712	85.596608406	44.1	731.8	0.367	687.7	-49.7	
27	Spectrogram 1	1	86.994263194	87.378186886	44.1	573.1	0.384	529.0	-55.3	
28	Spectrogram 1	1	88.491148947	88.745660158	44.1	811.1	0.255	767.1	-49.4	
29	Spectrogram 1	1	89.207231338	89.349585067	35.3	493.7	0.142	458.5	-56.5	
30	Spectrogram 1	1	89.996647469	90.315864920	44.1	820.0	0.319	775.9	-50.0	
31	Spectrogram 1	1	90.803318596	91.502145990	141.1	1631.1	0.699	1490.0	-55.2	
32	Spectrogram 1	1	93.449951227	93.695834940	255.7	1472.4	0.246	1216.7	-67.1	
33	Spectrogram 1	1	96.144953817	96.559073754	44.1	1419.5	0.414	1375.4	-60.9	
34	Spectrogram 1	1	97.266528647	97.723786077	70.5	1357.8	0.457	1287.3	-58.9	
35	Spectrogram 1	1	97.999866035	98.465750965	44.1	890.5	0.466	846.4	-54.9	
36	Spectrogram 1	1	102.603663416	103.319745807	79.4	1199.1	0.716	1119.7	-62.7	
37	Spectrogram 1	1	103.341314554	103.716610747	97.0	1446.0	0.375	1349.0	-58.6	
38	Spectrogram 1	1	107.952275341	108.288747790	52.9	1366.6	0.336	1313.7	-60.2	
